112.9276296557,28.1608551994
112.9276120635,28.1608885641
112.9275906975,28.1609201698
112.9275657811,28.1609496860
112.9275375750,28.1609768037
112.9275063744,28.1610012393
112.9274725056,28.1610227371
112.9274363231,28.1610410722
112.9273982054,28.1610560528
112.9273585514,28.1610675220
112.9273177758,28.1610753600
112.9272763054,28.1610794846
112.9272345740,28.1610798528
112.9271930183,28.1610764607
112.9271520730,28.1610693438
112.9271121665,28.1610585766
112.9270737164,28.1610442716
112.9270371249,28.1610265786
112.9270027749,28.1610056827
112.9269710258,28.1609818025
112.9269422098,28.1609551879
112.9269166283,28.1609261173
112.9268945490,28.1608948949
112.9268762030,28.1608618473
112.9268617821,28.1608273204
112.9268514373,28.1607916753
112.9268452767,28.1607552850
112.9268433649,28.1607185302
112.9268457218,28.1606817956
112.9268523229,28.1606454654
112.9268630989,28.1606099197
112.9268777597,28.1605754654
112.9268934002,28.1605413363
112.9269090406,28.1605072072
112.9269246811,28.1604730781
112.9269403215,28.1604389490
112.9269559620,28.1604048199
112.9269716025,28.1603706908
112.9269872429,28.1603365617
112.9270028834,28.1603024326
112.9270185238,28.1602683035
112.9270341643,28.1602341744
112.9270498048,28.1602000453
112.9270654452,28.1601659162
112.9270810857,28.1601317871
112.9270967261,28.1600976579
112.9271123666,28.1600635288
112.9271280071,28.1600293997
112.9271436475,28.1599952706
112.9271592880,28.1599611415
112.9271749284,28.1599270124
112.9271925206,28.1598936478
112.9272138867,28.1598620420
112.9272388031,28.1598325258
112.9272670092,28.1598054081
112.9272982098,28.1597809725
112.9273320785,28.1597594747
112.9273682610,28.1597411396
112.9274063787,28.1597261591
112.9274460328,28.1597146898
112.9274868083,28.1597068519
112.9275282787,28.1597027272
112.9275700101,28.1597023590
112.9276115659,28.1597057511
112.9276525112,28.1597128680
112.9276924176,28.1597236353
112.9277308678,28.1597379402
112.9277674592,28.1597556332
112.9278018092,28.1597765291
112.9278335583,28.1598004093
112.9278623744,28.1598270239
112.9278879558,28.1598560945
112.9279100351,28.1598873169
112.9279283811,28.1599203645
112.9279428020,28.1599548915
112.9279531469,28.1599905365
112.9279593074,28.1600269268
112.9279612192,28.1600636816
112.9279588623,28.1601004162
112.9279522613,28.1601367464
112.9279414853,28.1601722921
112.9279268244,28.1602067464
112.9279111840,28.1602408755
112.9278955435,28.1602750046
112.9278799030,28.1603091337
112.9278642626,28.1603432628
112.9278486221,28.1603773919
112.9278329817,28.1604115210
112.9278173412,28.1604456501
112.9278017008,28.1604797792
112.9277860603,28.1605139083
112.9277704198,28.1605480374
112.9277547794,28.1605821666
112.9277391389,28.1606162957
112.9277234985,28.1606504248
112.9277078580,28.1606845539
112.9276922175,28.1607186830
112.9276765771,28.1607528121
112.9276609366,28.1607869412
112.9276452962,28.1608210703
112.9276296557,28.1608551994
